sample_number,sample_day,infection_status,temp_trtmnt,Sequencing_ID,
439,17,uninfected,decreased,304428,
426,17,uninfected,decreased,304428,
447,17,uninfected,decreased,304428,
442,17,uninfected,decreased,304428,
449,17,uninfected,decreased,304428,
417,17,infected,decreased,304428,
420,17,infected,decreased,304428,
431,17,infected,decreased,304428,
443,17,infected,decreased,304428,
408,17,infected,decreased,304428,
480,17,uninfected,ambient,304428,
488,17,uninfected,ambient,304428,
473,17,uninfected,ambient,304428,
484,17,infected,ambient,304428,
485,17,infected,ambient,304428,
219,2,infected,decreased,329771,
255,2,infected,decreased,329771,
280,2,infected,elevated,329771,
288,2,infected,elevated,329771,
330,2,infected,ambient,329771,
332,2,infected,ambient,329771,
334,2,infected,ambient,329771,
356,2,infected,ambient,329771,
364,2,infected,elevated,329771,
367,2,infected,elevated,329771,
206,2,uninfected,decreased,329775,
222,2,uninfected,decreased,329775,
235,2,uninfected,decreased,329775,
244,2,uninfected,decreased,329775,
295,2,uninfected,elevated,329775,
331,2,uninfected,ambient,329775,
345,2,uninfected,ambient,329775,
347,2,uninfected,ambient,329775,
350,2,uninfected,ambient,329775,
351,2,uninfected,ambient,329775,
369,2,uninfected,elevated,329775,
401,17,infected,elevated,329776,
403,17,infected,elevated,329776,
409,17,infected,decreased,329776,
411,17,infected,decreased,329776,
413,17,infected,decreased,329776,
455,17,infected,decreased,329776,
457,17,infected,decreased,329776,
481,17,infected,ambient,329776,
484,17,infected,ambient,329776,
485,17,infected,ambient,329776,
493,17,infected,ambient,329776,
504,17,infected,ambient,329776,
402,17,uninfected,elevated,329777,
415,17,uninfected,decreased,329777,
425,17,uninfected,decreased,329777,
432,17,uninfected,decreased,329777,
439,17,uninfected,decreased,329777,
449,17,uninfected,decreased,329777,
471,17,uninfected,ambient,329777,
473,17,uninfected,ambient,329777,
480,17,uninfected,ambient,329777,
488,17,uninfected,ambient,329777,
499,17,uninfected,ambient,329777,
28,0,uninfected,ambient,380820,
91,0,uninfected,ambient,380820,
10,0,uninfected,ambient,380820,
119,0,uninfected,ambient,380820,
53,0,uninfected,ambient,380820,
108,0,uninfected,ambient,380820,
5,0,uninfected,ambient,380820,
24,0,uninfected,ambient,380820,
169,0,uninfected,ambient,380820,
124,0,uninfected,ambient,380820,
133,0,infected,ambient,380821,
163,0,infected,ambient,380821,
103,0,infected,ambient,380821,
20,0,infected,ambient,380821,
54,0,infected,ambient,380821,
158,0,infected,ambient,380821,
151,0,infected,ambient,380821,
102,0,infected,ambient,380821,
117,0,infected,ambient,380821,
17,0,infected,ambient,380821,
259,2,uninfected,decreased,380822,
241,2,uninfected,decreased,380822,
209,2,uninfected,decreased,380822,
224,2,uninfected,decreased,380822,
238,2,uninfected,decreased,380822,
316,2,uninfected,decreased,380822,
246,2,uninfected,decreased,380822,
218,2,uninfected,decreased,380822,
216,2,uninfected,decreased,380822,
227,2,uninfected,decreased,380822,
240,2,infected,decreased,380823,
231,2,infected,decreased,380823,
249,2,infected,decreased,380823,
213,2,infected,decreased,380823,
226,2,infected,decreased,380823,
228,2,infected,decreased,380823,
257,2,infected,decreased,380823,
210,2,infected,decreased,380823,
233,2,infected,decreased,380823,
250,2,infected,decreased,380823,
270,2,uninfected,elevated,380824,
290,2,uninfected,elevated,380824,
292,2,uninfected,elevated,380824,
286,2,uninfected,elevated,380824,
263,2,uninfected,elevated,380824,
297,2,uninfected,elevated,380824,
375,2,uninfected,elevated,380824,
377,2,uninfected,elevated,380824,
275,2,uninfected,elevated,380824,
282,2,uninfected,elevated,380824,
278,2,infected,elevated,380825,
371,2,infected,elevated,380825,
284,2,infected,elevated,380825,
365,2,infected,elevated,380825,
279,2,infected,elevated,380825,
262,2,infected,elevated,380825,
283,2,infected,elevated,380825,
363,2,infected,elevated,380825,
273,2,infected,elevated,380825,
289,2,infected,elevated,380825,